Local time in New York / La Guardia (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.12.2018 04:00,3.3,769.1,770,0.7,73,"Calm, no wind",0,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-1.1,,,,,,
31.12.2018 01:00,4.4,768.4,769.3,0.3,68,Wind blowing from the south-southwest,2,,,70 – 80%., ,,,1.7,4.4,,,1000-1500,,,16,-1.1,,,,,,
30.12.2018 22:00,3.9,768.1,769,0.6,73,Wind blowing from the south-southeast,2,,,70 – 80%., ,,,,,,,600-1000,,,16,-0.6,,,,,,
30.12.2018 19:00,3.3,767.5,768.7,1.2,73,Wind blowing from the south-east,3,,,70 – 80%., ,,,1.7,3.9,,,600-1000,,,16,-1.1,,,,,,
30.12.2018 16:00,3.3,766.3,767.4,0.5,65,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,,,,,600-1000,,,16,-2.8,,,,,,
30.12.2018 13:00,1.7,765.8,766.6,-1.3,72,Wind blowing from the north-east,3,,,70 – 80%., ,,,0,3.3,,,300-600,,,16,-2.8,Trace of precipitation,6,,,,
30.12.2018 10:00,0.6,767.1,768.1,0.5,72,Wind blowing from the east-northeast,3,,,100%., ,,,,,,,600-1000,,,14,-3.9,Trace of precipitation,3,,,,
30.12.2018 07:00,1.7,766.6,767.5,1.3,59,Wind blowing from the north-east,4,,,100%., ,,,1.7,13.9,,,600-1000,,,16,-5.6,,,,,,
30.12.2018 04:00,2.2,765.3,766.3,0.2,59,Wind blowing from the north,3,,,70 – 80%., ,,,,,,,1000-1500,,,16,-5,,,,,,
30.12.2018 01:00,3.9,765.1,766.1,-0.4,53,Wind blowing from the north-northwest,5,,,70 – 80%., ,,,3.9,13.9,,,1000-1500,,,16,-5,,,,,,
29.12.2018 22:00,5,765.5,766.6,1,60,Wind blowing from the north-northwest,4,,,70 – 80%., ,,,,,,,1000-1500,,,16,-2.2,,,,,,
29.12.2018 19:00,6.7,764.5,765.6,1.8,53,Wind blowing from the north-west,7,,,70 – 80%., ,,,6.7,12.2,,,1000-1500,,,16,-2.2,,,,,,
29.12.2018 16:00,8.3,762.7,763.8,1.8,50,Wind blowing from the north-west,11,15,,70 – 80%., ,,,,,,,1000-1500,,,16,-1.7,,,,,,
29.12.2018 13:00,8.9,760.9,761.8,0.2,52,Wind blowing from the north-west,9,14,,70 – 80%., ,,,8.3,13.9,,,1000-1500,,,16,-0.6,,,,,,
29.12.2018 10:00,10,760.7,761.6,2.2,61,Wind blowing from the north-northwest,9,12,,50%., ,,,,,,,1000-1500,,,16,2.8,,,,,,
29.12.2018 07:00,12.2,758.5,759.5,1.6,69,Wind blowing from the west-southwest,8,12,,20–30%., ,,,11.7,14.4,,,1500-2000,,,16,6.7,,,,,,
29.12.2018 04:00,12.2,756.9,757.9,0.2,83,Wind blowing from the west,4,,,20–30%., ,,,,,,,1500-2000,,,16,9.4,,,,,,
29.12.2018 01:00,13.3,756.7,757.6,0,87,Wind blowing from the west-southwest,4,,,100%., ,,,6.7,14.4,,,300-600,,,16,11.1,,,,,,
28.12.2018 22:00,14.4,756.7,757.7,-0.7,90,Wind blowing from the west-southwest,3,,,100%., ,,,,,,,300-600,,,16,12.8,,,,,,
28.12.2018 19:00,14.4,757.4,758.3,-1.1,97,Wind blowing from the south-west,4,,,100%., ,,,6.7,14.4,,,200-300,,,16,13.9,8,6,,,,
28.12.2018 16:00,11.7,758.5,759.4,-0.9,100,Wind blowing from the south,3,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,200-300,,,2.4,11.7,4,3,,,,
28.12.2018 13:00,11.7,759.4,760.3,-4.8,93,Wind blowing from the south,8,12,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,11.7,,,100-200,,,8,10.6,16,6,,,,
28.12.2018 10:00,11.7,764.2,765.3,-3.1,86,Wind blowing from the south-southeast,5,9,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,100-200,,,4,9.4,8,3,,,,
28.12.2018 07:00,7.8,767.3,768.3,-1.8,93,Wind blowing from the south-east,3,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,4.4,7.8,,,100-200,,,4,6.7,5,6,,,,
28.12.2018 04:00,6.7,769.1,770.2,-2.8,89,Wind blowing from the south-east,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,6,5,0.5,3,,,,
28.12.2018 01:00,6.7,771.9,772.9,-2,68,Wind blowing from the south-east,5,,,100%., ,,,3.9,6.7,,,600-1000,,,16,1.1,,,,,,
27.12.2018 22:00,4.4,773.9,775,-1.5,68,Wind blowing from the east-southeast,4,,,100%., ,,,,,,,600-1000,,,16,-1.1,,,,,,
27.12.2018 19:00,4.4,775.4,776.3,0.2,63,Wind blowing from the south-east,4,,,70 – 80%., ,,,3.9,6.1,,,"2500 or more, or no clouds.",,,16,-2.2,,,,,,
27.12.2018 16:00,5.6,775.2,776,-0.7,55,Wind blowing from the south-southeast,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,-2.8,,,,,,
27.12.2018 13:00,5.6,775.9,776.8,-0.8,49,Wind blowing from the north-east,3,,,70 – 80%., ,,,3.9,6.1,,,1000-1500,,,16,-4.4,,,,,,
27.12.2018 10:00,5,776.7,777.7,0.8,47,Wind blowing from the north,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5.6,,,,,,
27.12.2018 07:00,3.9,775.9,776.8,1.8,60,Wind blowing from the north-northwest,4,,,no clouds, ,,,3.9,6.1,,,,,,16,-3.3,,,,,,
27.12.2018 04:00,5,774.1,775,0.7,65,Wind blowing from the north-west,6,,,70 – 80%., ,,,,,,,1500-2000,,,16,-1.1,,,,,,
27.12.2018 01:00,5.6,773.4,774.2,0.2,60,Wind blowing from the west,5,,,100%., ,,,,5.6,,,1500-2000,,,16,-1.7,,,,,,
26.12.2018 22:00,4.4,773.2,774,0.6,60,Wind blowing from the west-southwest,5,,,20–30%., ,,,,,,,1500-2000,,,16,-2.8,,,,,,
26.12.2018 19:00,5.6,772.6,773.5,0.5,49,Wind blowing from the west-southwest,5,,,20–30%., ,,,0.6,6.1,,,1500-2000,,,16,-4.4,,,,,,
26.12.2018 16:00,6.1,772.1,773.1,0.2,47,Wind blowing from the west,4,,,70 – 80%., ,,,,,,,1000-1500,,,16,-4.4,,,,,,
26.12.2018 13:00,5,771.9,772.9,-1.8,49,Wind blowing from the west-northwest,5,,,70 – 80%., ,,,1.7,5,,,1000-1500,,,16,-5,,,,,,
26.12.2018 10:00,3.3,773.7,774.5,1.3,57,Wind blowing from the west-northwest,4,,,100%., ,,,,,,,1500-2000,,,16,-4.4,,,,,,
26.12.2018 07:00,1.7,772.4,773.4,1,57,Wind blowing from the north-northwest,4,,,100%., ,,,0.6,5,,,1500-2000,,,16,-6.1,,,,,,
26.12.2018 04:00,0.6,771.4,772.3,1,56,Wind blowing from the west-northwest,7,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-7.2,,,,,,
26.12.2018 01:00,1.1,770.4,771.2,0.5,59,Wind blowing from the west-northwest,6,,,50%., ,,,1.1,2.8,,,"2500 or more, or no clouds.",,,16,-6.1,,,,,,
25.12.2018 22:00,1.7,769.9,770.8,0.8,54,Wind blowing from the west-northwest,7,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,-6.7,,,,,,
25.12.2018 19:00,2.8,769.1,770.2,1,52,Wind blowing from the north-northwest,6,10,,70 – 80%., ,,,1.7,5,,,1000-1500,,,16,-6.1,,,,,,
25.12.2018 16:00,3.9,768.1,769.1,1,50,Wind blowing from the north-northwest,7,,,70 – 80%., ,,,,,,,1000-1500,,,16,-5.6,,,,,,
25.12.2018 13:00,4.4,767.1,768.1,-1,47,Wind blowing from the north-northwest,5,,,70 – 80%., ,,,1.7,4.4,,,1000-1500,,,16,-6.1,,,,,,
25.12.2018 10:00,3.3,768.1,769.1,1,52,Wind blowing from the west-northwest,5,,,50%., ,,,,,,,1000-1500,,,16,-5.6,,,,,,
25.12.2018 07:00,1.7,767.1,767.9,1.6,59,Wind blowing from the west,5,,,20–30%., ,,,1.7,6.1,,,1500-2000,,,16,-5.6,,,,,,
25.12.2018 04:00,1.7,765.5,766.6,1,59,Wind blowing from the west,4,,,no clouds, ,,,,,,,,,,16,-5.6,,,,,,
25.12.2018 01:00,2.8,764.5,765.6,1,52,Wind blowing from the west,7,11,,no clouds, ,,,2.2,4.4,,,,,,16,-6.1,,,,,,
24.12.2018 22:00,3.3,763.5,764.5,0.5,57,Wind blowing from the west-northwest,7,11,,20–30%., ,,,,,,,2000-2500,,,16,-4.4,,,,,,
24.12.2018 19:00,4.4,763,763.9,1.2,49,Wind blowing from the west,7,11,,70 – 80%., ,,,2.2,6.1,,,1500-2000,,,16,-5.6,,,,,,
24.12.2018 16:00,5.6,761.8,762.8,0.6,51,Wind blowing from the west,7,,,70 – 80%., ,,,,,,,1000-1500,,,16,-3.9,,,,,,
24.12.2018 13:00,6.1,761.2,762.3,-1.5,53,Wind blowing from the north-west,5,,,70 – 80%., ,,,2.8,6.1,,,600-1000,,,16,-2.8,0.3,6,,,,
24.12.2018 10:00,3.9,762.7,763.6,,82,Wind blowing from the west,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,11,1.1,0.3,3,,,,
24.12.2018 07:00,2.8,762,762.9,0,89,Wind blowing from the north-east,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,2.2,6.7,,,200-300,,,8,1.1,2,6,,,,
24.12.2018 04:00,2.2,762,763,-0.7,89,Wind blowing from the north-east,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,16,0.6,2,3,,,,
24.12.2018 01:00,2.2,762.7,763.6,-1.1,82,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,2.2,6.1,,,300-600,,,16,-0.6,Trace of precipitation,6,,,,
23.12.2018 22:00,4.4,763.8,764.8,0.5,51,Wind blowing from the east,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5,,,,,,
23.12.2018 19:00,5.6,763.3,764.2,-0.2,53,Wind blowing from the north-east,5,,,50%., ,,,2.8,6.7,,,"2500 or more, or no clouds.",,,16,-3.3,,,,,,
23.12.2018 16:00,6.1,763.5,764.5,-0.3,47,Wind blowing from the west-northwest,5,,,50%., ,,,,,,,1500-2000,,,16,-4.4,,,,,,
23.12.2018 13:00,5.6,763.8,764.6,-1.5,47,Wind blowing from the west-northwest,5,,,50%., ,,,2.8,5.6,,,1000-1500,,,16,-5,,,,,,
23.12.2018 10:00,3.3,765.3,766.1,1.3,57,Wind blowing from the north-west,6,,,70 – 80%., ,,,,,,,600-1000,,,16,-4.4,,,,,,
23.12.2018 07:00,2.8,764,764.8,1.8,59,Wind blowing from the north-west,4,,,70 – 80%., ,,,2.8,,,,600-1000,,,16,-4.4,,,,,,
23.12.2018 04:00,3.9,762.2,763.2,1.5,55,Wind blowing from the west-northwest,7,,,70 – 80%., ,,,,,,,1000-1500,,,16,-4.4,,,,,,
23.12.2018 01:00,4.4,760.7,761.8,1.5,51,Wind blowing from the west-northwest,8,,,70 – 80%., ,,,4.4,,,,1000-1500,,,16,-5,,,,,,
22.12.2018 22:00,5.6,759.2,760.1,2,53,Wind blowing from the north-west,8,13,,70 – 80%., ,,,,,,,1000-1500,,,16,-3.3,,,,,,
22.12.2018 19:00,5.6,757.2,758.2,3.3,55,Wind blowing from the west-northwest,12,16,,70 – 80%., ,,,5.6,9.4,,,1000-1500,,,16,-2.8,,,,,,
22.12.2018 16:00,6.7,753.9,754.9,3.8,53,Wind blowing from the west-northwest,11,14,,70 – 80%., ,,,,,,,1000-1500,,,16,-2.2,,,,,,
22.12.2018 13:00,6.1,750.1,751,2.8,58,Wind blowing from the west-northwest,13,17,,70 – 80%., ,,,6.1,11.7,,,1000-1500,,,16,-1.7,Trace of precipitation,6,,,,
22.12.2018 10:00,6.1,747.3,748.3,4.4,60,Wind blowing from the west-northwest,11,15,,70 – 80%., ,,,,,,,600-1000,,,16,-1.1,Trace of precipitation,3,,,,
22.12.2018 07:00,9.4,742.9,744,2.2,74,Wind blowing from the west-northwest,8,13,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,9.4,16.7,,,300-600,,,14,5,Trace of precipitation,6,,,,
22.12.2018 04:00,11.1,740.7,741.7,0,89,Wind blowing from the south-southwest,4,,,100%., ,,,,,,,300-600,,,16,9.4,Trace of precipitation,3,,,,
22.12.2018 01:00,10.6,740.7,741.7,-1.3,92,Wind blowing from the south,5,,,100%., ,,,10.6,16.7,,,200-300,,,16,9.4,Trace of precipitation,6,,,,
21.12.2018 22:00,12.2,742,742.9,-0.2,87,Wind blowing from the south,7,11,,70 – 80%., ,,,,,,,300-600,,,16,10,Trace of precipitation,3,,,,
21.12.2018 19:00,13.3,742.2,743.3,-1.8,90,Wind blowing from the south-southeast,9,12,,70 – 80%., ,,,12.8,16.7,,,300-600,,,16,11.7,2,6,,,,
21.12.2018 16:00,13.3,744,744.9,,97,Wind blowing from the south-east,5,14,,100%.,Mist. ,,,,,,,50-100,,,0.8,12.8,2,3,,,,
21.12.2018 13:00,13.9,744.7,745.8,-3.1,96,Wind blowing from the south,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,16.7,,,100-200,,,4,13.3,20,6,,,,
21.12.2018 10:00,14.4,747.8,748.8,0.3,93,Wind blowing from the south,7,9,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,3.2,13.3,10,3,,,,
21.12.2018 07:00,16.1,747.5,748.6,-2.3,93,Wind blowing from the south-southeast,9,16,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,5.6,16.1,,,100-200,,,3.2,15,20,6,,,,
21.12.2018 04:00,13.9,749.8,750.9,-4.5,93,Wind blowing from the south-east,11,18,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,8,12.8,14,3,,,,
21.12.2018 01:00,13.3,754.3,755.3,-3.9,90,Wind blowing from the south-southeast,8,13,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,1.1,13.3,,,300-600,,,12,11.7,4,6,,,,
20.12.2018 22:00,6.7,758.2,759.2,-2.5,93,Wind blowing from the north-east,7,,,100%.,Mist. ,,,,,,,100-200,,,2.4,5.6,3,3,,,,
20.12.2018 19:00,6.1,760.7,761.7,-1.1,93,Wind blowing from the north-east,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,1.1,6.1,,,100-200,,,3.2,5,3,6,,,,
20.12.2018 16:00,5.6,761.8,762.7,-0.9,82,Wind blowing from the north-east,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,600-1000,,,16,2.8,0.3,3,,,,
20.12.2018 13:00,5.6,762.7,763.8,-1.8,73,Wind blowing from the north-east,4,,,100%., ,,,2.8,6.1,,,1500-2000,,,16,1.1,,,,,,
20.12.2018 10:00,5,764.5,765.4,0.3,73,Wind blowing from the north-east,3,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,0.6,,,,,,
20.12.2018 07:00,3.3,764.2,765.1,0.4,76,Wind blowing from the south,2,,,50%., ,,,1.1,5.6,,,"2500 or more, or no clouds.",,,16,-0.6,,,,,,
20.12.2018 04:00,3.3,763.8,764.7,-0.2,70,"Calm, no wind",0,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-1.7,,,,,,
20.12.2018 01:00,4.4,764,764.9,-0.5,55,Wind blowing from the south-southwest,3,,,20–30%., ,,,,5,,,"2500 or more, or no clouds.",,,16,-3.9,,,,,,
19.12.2018 22:00,4.4,764.5,765.6,0.7,51,Wind blowing from the south-southwest,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,-5,,,,,,
19.12.2018 19:00,4.4,763.8,764.6,0.5,51,Wind blowing from the south-southwest,4,,,70 – 80%., ,,,-2.7,5.6,,,"2500 or more, or no clouds.",,,16,-5,,,,,,
19.12.2018 16:00,5.6,763.3,764.3,-0.7,40,Wind blowing from the south-southwest,4,,,70 – 80%., ,,,,,,,1500-2000,,,16,-7.2,,,,,,
19.12.2018 13:00,3.3,764,764.9,-2,43,Wind blowing from the south-west,3,,,70 – 80%., ,,,-2.2,3.9,,,"2500 or more, or no clouds.",,,16,-8.3,,,,,,
19.12.2018 10:00,0,766,766.9,0.7,56,Wind blowing from the west-northwest,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-7.8,,,,,,
19.12.2018 07:00,-2.2,765.3,766.3,0.5,63,Wind blowing from the north-west,4,,,20–30%., ,,,-2.8,5,,,"2500 or more, or no clouds.",,,16,-8.3,,,,,,
19.12.2018 04:00,-2.8,764.8,765.8,0.6,61,Wind blowing from the west-northwest,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-9.4,,,,,,
19.12.2018 01:00,-2.2,764.2,765.3,-0.6,58,Wind blowing from the north-west,7,,,50%., ,,,-2.2,4.4,,,"2500 or more, or no clouds.",,,16,-9.4,,,,,,
18.12.2018 22:00,-1.1,764.8,765.7,0.3,54,Wind blowing from the north-west,8,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,-9.4,,,,,,
18.12.2018 19:00,0.6,764.5,765.4,1.5,49,Wind blowing from the north-west,10,13,,20–30%., ,,,0.6,2.2,,,"2500 or more, or no clouds.",,,16,-8.9,,,,,,
18.12.2018 16:00,2.2,763,763.9,1.2,42,Wind blowing from the north-west,9,12,,no clouds, ,,,,,,,,,,16,-9.4,,,,,,
18.12.2018 13:00,1.1,761.8,762.8,0,40,Wind blowing from the west-northwest,9,,,20–30%., ,,,-0.6,4.4,,,1500-2000,,,16,-11.1,,,,,,
18.12.2018 10:00,0,761.8,762.8,2.9,50,Wind blowing from the north-northwest,11,14,,20–30%., ,,,,,,,1000-1500,,,16,-9.4,,,,,,
18.12.2018 07:00,0.6,758.9,759.9,1.7,54,Wind blowing from the north-west,15,19,,20–30%., ,,,0.6,7.8,,,1500-2000,,,16,-7.8,,,,,,
18.12.2018 04:00,2.2,757.2,758.2,2,50,Wind blowing from the west-northwest,10,13,,50%., ,,,,,,,1500-2000,,,16,-7.2,,,,,,
18.12.2018 01:00,4.4,755.2,756.1,0,49,Wind blowing from the west-northwest,12,20,,70 – 80%., ,,,3.3,6.1,,,1500-2000,,,16,-5.6,,,,,,
17.12.2018 22:00,5.6,755.2,756.1,0.3,51,Wind blowing from the west-northwest,12,15,,70 – 80%., ,,,,,,,1000-1500,,,16,-3.9,,,,,,
17.12.2018 19:00,6.1,754.9,755.8,1.3,47,Wind blowing from the west-northwest,12,15,,100%., ,,,3.3,7.8,,,1500-2000,,,16,-4.4,,,,,,
17.12.2018 16:00,6.7,753.6,754.6,0.8,49,Wind blowing from the west-northwest,12,18,,100%., ,,,,,,,1500-2000,,,16,-3.3,,,,,,
17.12.2018 13:00,7.2,752.8,753.7,-1.8,63,Wind blowing from the west-northwest,8,12,,100%., ,,,3.9,7.8,,,1000-1500,,,16,0.6,,,,,,
17.12.2018 10:00,6.1,754.6,755.6,-0.3,74,Wind blowing from the west-northwest,6,,,70 – 80%., ,,,,,,,600-1000,,,16,1.7,,,,,,
17.12.2018 07:00,4.4,754.9,755.9,0,83,Wind blowing from the north-west,5,,,70 – 80%., ,,,2.2,,,,300-600,,,16,1.7,Trace of precipitation,6,,,,
17.12.2018 04:00,3.9,754.9,755.8,0.3,82,Wind blowing from the north-northwest,4,,,100%., ,,,,,,,300-600,,,16,1.1,Trace of precipitation,3,,,,
17.12.2018 01:00,3.9,754.6,755.7,-0.8,82,Wind blowing from the north-northwest,6,11,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,2.2,7.2,,,300-600,,,16,1.1,9,6,,,,
16.12.2018 22:00,3.3,755.4,756.4,-0.5,86,Wind blowing from the north-northwest,8,11,,100%., ,,,,,,,600-1000,,,16,1.1,9,3,,,,
16.12.2018 19:00,4.4,755.9,757,-0.5,89,Wind blowing from the north,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,5.6,,,300-600,,,4.8,2.8,14,6,,,,
16.12.2018 16:00,4.4,756.4,757.3,-1.2,89,Wind blowing from the north-northeast,8,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,3.2,2.8,10,3,,,,
16.12.2018 13:00,5,757.6,758.7,-3.3,93,Wind blowing from the north-east,9,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,7.2,,,100-200,,,4.8,3.9,3,6,,,,
16.12.2018 10:00,4.4,760.9,761.8,-0.9,89,Wind blowing from the north-east,10,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,3.2,2.8,1,3,,,,
16.12.2018 07:00,4.4,761.8,762.6,-1.2,89,Wind blowing from the north-east,12,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,10,,,200-300,,,11,2.8,8,6,,,,
16.12.2018 04:00,5.6,763,763.9,0,79,Wind blowing from the north-east,10,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,600-1000,,,12,2.2,0.8,3,,,,
16.12.2018 01:00,7.2,763,764.1,-1,71,Wind blowing from the east-northeast,12,15,,100%., ,,,7.2,8.9,,,600-1000,,,16,2.2,,,,,,
15.12.2018 22:00,8.3,764,765.1,0,74,Wind blowing from the east-northeast,7,,,100%., ,,,,,,,1000-1500,,,16,3.9,,,,,,
15.12.2018 19:00,8.3,764,765.1,1,83,Wind blowing from the north-east,4,,,100%., ,,,7.8,10,,,1000-1500,,,16,5.6,,,,,,
15.12.2018 16:00,8.9,763,764.1,-0.5,89,Wind blowing from the north-east,4,,,70 – 80%., ,,,,,,,600-1000,,,16,7.2,,,,,,
15.12.2018 13:00,8.9,763.5,764.5,-2.3,89,Wind blowing from the north-east,4,,,100%.,Mist. ,,,6.7,10,,,50-100,,,9,7.2,0.3,6,,,,
15.12.2018 10:00,8.3,765.8,766.6,0.5,90,Wind blowing from the north-northeast,4,,,100%.,Mist. ,,,,,,,200-300,,,9,6.7,,,,,,
15.12.2018 07:00,8.3,765.3,766.3,-0.7,93,Wind blowing from the south-east,4,,,100%.,Mist. ,,,7.8,11.1,,,50-100,,,4.8,7.2,3,6,,,,
15.12.2018 04:00,7.8,766,766.9,-0.6,96,Wind blowing from the east,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,1.6,7.2,2,3,,,,
15.12.2018 01:00,8.9,766.6,767.5,-1.8,89,Wind blowing from the east-northeast,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,4.4,11.1,,,200-300,,,8,7.2,3,6,,,,
14.12.2018 22:00,10,768.4,769.3,-0.9,89,Wind blowing from the south-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,16,8.3,1,3,,,,
14.12.2018 19:00,10.6,769.3,770.3,-0.8,83,,2,,,100%., ,,,4.4,11.1,,,200-300,,,16,7.8,0.3,6,,,,
14.12.2018 16:00,10,770.1,771,-0.5,80,Wind blowing from the south-southeast,4,,,100%., ,,,,,,,300-600,,,16,6.7,,,,,,
14.12.2018 13:00,7.2,770.6,771.6,-2.8,80,Wind blowing from the north-northeast,4,,,100%., ,,,2.8,9.4,,,600-1000,,,16,3.9,,,,,,
14.12.2018 10:00,9.4,773.4,774.4,0.5,69,Wind blowing from the east,4,,,100%., ,,,,,,,600-1000,,,16,3.9,,,,,,
14.12.2018 07:00,5.6,772.9,773.8,0,82,Wind blowing from the east,3,,,100%., ,,,3.9,5.6,,,300-600,,,16,2.8,,,,,,
14.12.2018 04:00,5,772.9,773.9,0,89,Wind blowing from the north-east,4,,,100%., ,,,,,,,600-1000,,,16,3.3,,,,,,
14.12.2018 01:00,4.4,772.9,774,-0.3,89,Wind blowing from the north-east,5,,,100%., ,,,0.6,5.6,,,300-600,,,16,2.8,Trace of precipitation,6,,,,
13.12.2018 22:00,5.6,773.2,774.1,0.6,82,Wind blowing from the north-east,5,,,100%., ,,,,,,,200-300,,,16,2.8,,,,,,
13.12.2018 19:00,4.4,772.6,773.6,0.2,86,Wind blowing from the north-east,6,,,100%., ,,,0.6,5,,,300-600,,,16,2.2,2,6,,,,
13.12.2018 16:00,2.8,772.4,773.4,1.3,86,Wind blowing from the north-east,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,9,0.6,0.8,3,,,,
13.12.2018 13:00,3.3,771.1,772.2,-0.8,83,Wind blowing from the north-east,5,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",,,1.1,3.3,,,600-1000,,,16,0.6,0.3,6,,,,
